gRNA count,cut phases,wt at drive peak,drive peak rate,compl r1 at drive peak,part r1 at drive peak,compl r2 at drive peak,part r2 at drive peak,inds with drive at peak,pop at drive peak
1,1,0.5004869,0.4781251,0.0021239,0,0.0192641,0,0.9562502,250000
2,1,0.5000009,0.4870985,1.12E-05,8.80E-06,0.0128085,7.21E-05,0.974197,250000
3,1,0.5,0.4874198,0,0,0.0125282,5.20E-05,0.9748396,250000
4,1,0.5,0.4873986,0,0,0.0125491,5.23E-05,0.9747972,250000
5,1,0.5,0.4874014,0,0,0.0125488,4.98E-05,0.9748028,250000
6,1,0.5,0.4874126,0,0,0.0125387,4.87E-05,0.9748252,250000
7,1,0.5,0.48745,0,0,0.0124982,5.18E-05,0.9749,250000
8,1,0.5,0.4874211,0,0,0.0125287,5.02E-05,0.9748422,250000
9,1,0.5,0.487335,0,0,0.0126164,4.86E-05,0.97467,250000
10,1,0.5,0.4873131,0,0,0.012634,5.29E-05,0.9746262,250000
11,1,0.5,0.4873867,0,0,0.0125604,5.29E-05,0.9747734,250000
12,1,0.5,0.4874137,0,0,0.0125341,5.22E-05,0.9748274,250000
1,2,0.5004963,0.4781558,0.0021168,0,0.0192311,0,0.9563116,250000
2,2,0.500001,0.4871487,1.26E-05,8.30E-06,0.0127475,8.19E-05,0.9742974,250000
3,2,0.5,0.4874909,2.00E-07,0,0.012456,5.29E-05,0.9749818,250000
4,2,0.5,0.4874538,0,0,0.0124927,5.35E-05,0.9749076,250000
5,2,0.5,0.4873816,0,0,0.0125686,4.98E-05,0.9747632,250000
6,2,0.5,0.487444,0,0,0.0125034,5.26E-05,0.974888,250000
7,2,0.5,0.4874564,0,0,0.0124957,4.79E-05,0.9749128,250000
8,2,0.5,0.4874156,0,0,0.0125344,5.00E-05,0.9748312,250000
9,2,0.5,0.4875038,0,0,0.0124443,5.19E-05,0.9750076,250000
10,2,0.5,0.487431,0,0,0.0125171,5.19E-05,0.974862,250000
11,2,0.5,0.4874694,0,0,0.0124816,4.90E-05,0.9749388,250000
12,2,0.5,0.4874411,0,0,0.0125099,4.90E-05,0.9748822,250000
1,3,0.5004806,0.478105,0.0021625,0,0.0192519,0,0.95621,250000
2,3,0.500001,0.487089,1.28E-05,9.30E-06,0.0128104,7.75E-05,0.974178,250000
3,3,0.5,0.4873793,2.00E-07,2.00E-07,0.012567,5.33E-05,0.9747586,250000
4,3,0.5,0.4874811,0,0,0.0124657,5.32E-05,0.9749622,250000
5,3,0.5,0.4874686,0,0,0.0124799,5.15E-05,0.9749372,250000
6,3,0.5,0.487513,0,0,0.0124376,4.94E-05,0.975026,250000
7,3,0.5,0.4874721,0,0,0.0124763,5.16E-05,0.9749442,250000
8,3,0.5,0.4874635,0,0,0.0124862,5.03E-05,0.974927,250000
9,3,0.5,0.4874751,0,0,0.0124714,5.35E-05,0.9749502,250000
10,3,0.5,0.4874386,0,0,0.0125122,4.92E-05,0.9748772,250000
11,3,0.5,0.4875252,0,0,0.0124262,4.86E-05,0.9750504,250000
12,3,0.5,0.4874178,0,0,0.0125332,4.90E-05,0.9748356,250000
1,4,0.5005019,0.4780226,0.0021506,0,0.0193249,0,0.9560452,250000
2,4,0.5000007,0.4871392,1.35E-05,7.60E-06,0.012764,7.50E-05,0.9742784,250000
3,4,0.5,0.4874664,0,1.00E-07,0.012482,5.15E-05,0.9749328,250000
4,4,0.5,0.4874916,0,0,0.0124609,4.75E-05,0.9749832,250000
5,4,0.5,0.4874933,0,0,0.0124594,4.73E-05,0.9749866,250000
6,4,0.5,0.4875166,0,0,0.0124327,5.07E-05,0.9750332,250000
7,4,0.5,0.4874745,0,0,0.0124744,5.11E-05,0.974949,250000
8,4,0.5,0.4874666,0,0,0.012487,4.64E-05,0.9749332,250000
9,4,0.5,0.4874834,0,0,0.0124644,5.22E-05,0.9749668,250000
10,4,0.5,0.4874163,0,0,0.0125345,4.92E-05,0.9748326,250000
11,4,0.5,0.4874472,0,0,0.0125013,5.15E-05,0.9748944,250000
12,4,0.5,0.4874352,0,0,0.0125134,5.14E-05,0.9748704,250000
1,5,0.5004945,0.4780152,0.0021352,0,0.0193551,0,0.9560304,250000
2,5,0.5000007,0.4871361,1.13E-05,7.50E-06,0.0127705,7.39E-05,0.9742722,250000
3,5,0.5,0.487464,2.00E-07,2.00E-07,0.0124825,5.31E-05,0.974928,250000
4,5,0.5,0.4874974,0,0,0.0124463,5.63E-05,0.9749948,250000
5,5,0.5,0.4874914,0,0,0.0124591,4.95E-05,0.9749828,250000
6,5,0.5,0.4874969,0,0,0.0124515,5.16E-05,0.9749938,250000
7,5,0.5,0.4874713,0,0,0.0124817,4.70E-05,0.9749426,250000
8,5,0.5,0.4874557,0,0,0.012492,5.23E-05,0.9749114,250000
9,5,0.5,0.4874966,0,0,0.0124528,5.06E-05,0.9749932,250000
10,5,0.5,0.4874551,0,0,0.0124955,4.94E-05,0.9749102,250000
11,5,0.5,0.4874976,0,0,0.0124529,4.95E-05,0.9749952,250000
12,5,0.5,0.4874337,0,0,0.0125165,4.98E-05,0.9748674,250000
1,10000,0.5004885,0.4780626,0.0021392,0,0.0193097,0,0.9561252,250000
2,10000,0.5000017,0.4871748,1.27E-05,7.90E-06,0.0127305,7.24E-05,0.9743496,250000
3,10000,0.5,0.4874721,3.00E-07,0,0.0124721,5.55E-05,0.9749442,250000
4,10000,0.5,0.4874364,0,0,0.012509,5.46E-05,0.9748728,250000
5,10000,0.5,0.4875126,0,0,0.012438,4.94E-05,0.9750252,250000
6,10000,0.5,0.4875213,0,0,0.0124278,5.09E-05,0.9750426,250000
7,10000,0.5,0.4874841,0,0,0.0124654,5.05E-05,0.9749682,250000
8,10000,0.5,0.4874492,0,0,0.0124995,5.13E-05,0.9748984,250000
9,10000,0.5,0.4875073,0,0,0.0124379,5.48E-05,0.9750146,250000
10,10000,0.5,0.4874773,0,0,0.0124691,5.36E-05,0.9749546,250000
11,10000,0.5,0.4875447,0,0,0.0124056,4.97E-05,0.9750894,250000
12,10000,0.5,0.4875493,0,0,0.0123997,5.10E-05,0.9750986,250000
