gRNA count,wt at drive peak,drive peak rate,compl r1 at drive peak,part r1 at drive peak,compl r2 at drive peak,part r2 at drive peak,inds with drive at peak,pop at drive peak
1,0.5024936,0.4781761,0.0019216,0,1.74E-02,0,0.9563522,250000
2,0.5000272,0.4981065,1.61E-05,3.86E-05,1.46E-03,0.0003505,0.996213,250000
3,0.5000001,0.4998342,0,1.50E-06,1.16E-04,4.84E-05,0.9996684,250000
4,0.5,0.499985,0,0,8.80E-06,6.20E-06,0.99997,250000
5,0.5,0.4999986,0,0,6.00E-07,8.00E-07,0.9999972,250000
6,0.5,0.4999999,0,0,1.00E-07,0,0.9999998,250000
7,0.5,0.5,0,0,0,0,1,250000
8,0.5,0.5,0,0,0,0,1,250000
9,0.5,0.5,0,0,0,0,1,250000
10,0.5,0.5,0,0,0,0,1,250000
11,0.5,0.5,0,0,0,0,1,250000
12,0.5,0.5,0,0,0,0,1,250000
